item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id,zone,picking_time_seconds,handling_cost_per_unit,unit_price,holding_cost_per_unit_day,stockout_count_last_month,order_fulfillment_rate,total_orders_last_month,turnover_ratio,layout_efficiency_score,last_restock_date,forecasted_demand_next_7d,KPI_score,location_num,x,y,R,F,Monthly_Valuation,M,RFM_ID,Inventory_Tier,Z,ROP
ITM10000,Pharma,283,21,4,4,49.85,1.56,0.43,L82,B,106,3.61,117.8,1.14,0,0.8,700,3.33,0.33,2024-02-17,184.37,0.556,82,41.0,7.0,1,1,94665.6,4,114,Tier 2 (High Value),1.96,202.0
ITM10001,Automotive,301,52,9,6,23.34,2.55,0.69,L15,A,45,3.54,178.8,1.09,3,0.79,736,10.36,0.98,2024-10-01,221.94,0.723,15,29.0,54.0,3,3,144044.94000000003,4,334,Tier 1 (Critical),2.33,146.0
ITM10002,Groceries,132,60,11,8,37.69,3.15,0.62,L4,B,177,0.52,54.05,0.95,7,0.75,814,14.32,0.87,2024-04-07,53.85,0.68,4,40.0,45.0,2,4,48181.979999999996,2,242,Tier 3 (High Volume),1.65,307.0
ITM10003,Automotive,346,46,13,5,33.69,2.79,0.21,L95,A,39,2.64,31.1,1.9,0,0.96,994,2.08,0.29,2024-01-27,92.04,0.488,95,25.0,19.0,1,1,53259.560000000005,2,112,Tier 4 (Low Priority),1.28,172.0
ITM10004,Automotive,49,55,4,6,49.58,5.23,0.31,L36,D,35,1.4,104.97,0.63,5,0.83,299,5.65,0.96,2024-05-17,194.58,0.67,36,81.0,40.0,2,2,32730.729999999996,2,222,Tier 4 (Low Priority),1.28,304.0
ITM10005,Apparel,154,62,9,6,35.95,9.47,0.41,L32,A,94,1.96,164.12,0.66,1,0.99,477,7.61,0.95,2024-07-12,180.65,0.803,32,26.0,35.0,3,2,82269.36,3,323,Tier 4 (Low Priority),1.28,228.0
ITM10006,Groceries,86,97,6,4,9.04,4.72,0.28,L29,C,110,4.9,134.38,0.37,8,0.88,418,4.25,0.45,2024-12-10,223.69,0.526,29,68.0,53.0,4,1,59173.63999999999,3,413,Tier 4 (Low Priority),1.28,42.0
ITM10007,Groceries,84,89,13,4,47.82,6.78,0.24,L18,D,130,0.88,131.09,1.42,7,0.74,958,11.37,0.7,2024-11-05,195.75,0.558,18,85.0,47.0,4,3,130005.65999999999,4,434,Tier 1 (Critical),2.33,207.0
ITM10008,Groceries,311,22,4,9,33.72,7.04,0.15,L95,D,40,3.75,13.32,0.71,8,0.86,697,10.64,0.29,2024-11-04,105.74,0.541,95,86.0,13.0,4,3,18522.09,1,431,Tier 4 (Low Priority),1.28,312.0
ITM10009,Automotive,44,98,9,8,3.91,8.78,0.89,L14,A,26,1.28,70.32,1.63,8,1.0,496,2.65,0.27,2024-01-21,154.78,0.366,14,28.0,51.0,1,1,37665.19999999999,2,112,Tier 4 (Low Priority),1.28,43.0
ITM10010,Pharma,56,63,7,2,33.22,0.82,0.36,L87,B,107,0.53,188.5,1.95,1,0.87,71,8.97,0.6,2024-02-07,266.58,0.599,87,44.0,12.0,1,3,16697.129999999997,1,131,Tier 4 (Low Priority),1.28,67.0
ITM10011,Groceries,20,66,3,7,44.27,4.34,0.36,L95,A,135,2.76,35.51,0.18,1,0.7,599,6.16,0.24,2024-04-06,63.97,0.632,95,24.0,11.0,2,2,23031.729999999996,1,221,Tier 4 (Low Priority),1.28,315.0
ITM10012,Automotive,418,13,7,3,29.28,7.95,0.29,L70,A,33,1.23,148.01,1.99,8,0.98,588,4.2,0.9,2024-10-27,119.26,0.473,70,25.0,19.0,4,1,112707.72,4,414,Tier 2 (High Value),1.96,103.0
ITM10013,Apparel,56,84,14,5,18.35,8.24,0.53,L12,D,131,4.84,154.27,0.58,1,0.77,331,12.88,0.94,2024-12-09,254.1,0.836,12,88.0,43.0,4,4,53639.810000000005,2,442,Tier 3 (High Volume),1.65,105.0
ITM10014,Pharma,160,58,14,4,41.22,9.31,0.56,L76,C,141,1.42,149.24,0.9,3,0.91,328,1.77,0.25,2024-10-13,115.62,0.506,76,67.0,22.0,4,1,53736.48,2,412,Tier 4 (Low Priority),1.28,177.0
ITM10015,Apparel,251,16,5,5,39.34,7.18,0.29,L55,B,146,1.36,197.96,1.58,1,0.85,169,7.54,0.24,2024-04-21,129.55,0.541,55,48.0,21.0,2,2,45582.479999999996,2,222,Tier 4 (Low Priority),1.28,206.0
ITM10016,Pharma,155,20,9,7,27.66,2.83,0.65,L5,A,139,0.64,87.75,1.36,0,0.8,302,7.65,0.38,2024-09-02,102.57,0.602,5,26.0,47.0,3,2,33017.78,2,322,Tier 4 (Low Priority),1.28,197.0
ITM10017,Automotive,408,63,8,7,8.56,5.3,0.75,L4,C,172,1.98,139.62,1.58,9,0.78,920,8.98,0.94,2024-04-16,270.86,0.526,4,68.0,53.0,2,3,149611.2,4,234,Tier 1 (Critical),2.33,72.0
ITM10018,Electronics,207,96,10,8,13.3,0.81,0.44,L12,C,132,0.61,46.79,0.99,6,0.98,526,3.77,0.82,2024-06-19,202.37,0.591,12,65.0,37.0,2,1,31080.300000000003,2,212,Tier 4 (Low Priority),1.28,107.0
ITM10019,Pharma,147,54,7,6,37.19,6.65,0.63,L28,B,47,2.74,85.94,1.84,4,0.97,114,13.2,0.74,2024-06-04,70.55,0.654,28,41.0,51.0,2,4,18223.920000000002,1,241,Tier 3 (High Volume),1.65,234.0
ITM10020,Apparel,220,32,4,8,40.5,5.77,0.55,L30,C,152,2.78,103.4,1.6,2,0.85,635,14.51,0.82,2024-01-08,227.39,0.727,30,62.0,36.0,1,4,77984.3,3,143,Tier 1 (Critical),2.33,337.0
ITM10021,Automotive,146,37,11,3,14.68,6.83,0.28,L65,A,179,0.74,50.82,0.69,7,0.78,352,8.69,0.36,2024-04-18,21.17,0.535,65,27.0,16.0,2,3,21171.32,1,231,Tier 4 (Low Priority),1.28,53.0
ITM10022,Pharma,276,66,13,2,19.03,9.34,0.76,L78,D,140,1.58,182.29,1.9,4,0.73,366,4.59,0.41,2024-04-07,124.96,0.419,78,82.0,21.0,2,1,83028.42,3,213,Tier 4 (Low Priority),1.28,50.0
ITM10023,Electronics,183,35,10,5,4.8,7.03,0.82,L4,C,168,4.24,146.08,1.93,0,0.75,223,13.28,0.45,2024-03-01,273.83,0.624,4,64.0,39.0,1,4,44117.06,2,142,Tier 3 (High Volume),1.65,36.0
ITM10024,Electronics,54,34,8,3,35.96,3.54,0.68,L72,D,178,2.58,63.91,0.89,8,0.86,949,14.83,0.68,2024-09-02,210.04,0.657,72,80.0,24.0,3,4,64540.81,3,343,Tier 1 (Critical),2.33,116.0
ITM10025,Groceries,213,63,12,9,1.18,2.39,0.39,L26,B,66,2.46,35.64,1.34,4,0.79,464,11.39,0.69,2024-05-04,240.0,0.634,26,44.0,42.0,2,3,26241.0,1,231,Tier 4 (Low Priority),1.28,14.0
ITM10026,Groceries,210,38,9,2,3.28,8.62,0.93,L92,B,51,3.64,64.69,1.65,2,0.71,309,5.67,0.37,2024-12-22,280.08,0.487,92,45.0,5.0,4,2,31508.969999999998,2,422,Tier 4 (Low Priority),1.28,18.0
ITM10027,Apparel,123,92,11,5,1.21,2.35,0.51,L84,C,62,3.72,128.37,1.65,5,0.84,334,4.3,0.55,2024-11-05,234.62,0.47,84,65.0,6.0,4,1,50206.560000000005,2,412,Tier 4 (Low Priority),1.28,9.0
ITM10028,Pharma,42,45,9,3,32.62,2.04,0.34,L90,D,128,3.93,167.02,0.13,7,0.92,122,3.19,0.75,2024-12-26,35.69,0.624,90,80.0,11.0,4,1,21019.7,1,411,Tier 4 (Low Priority),1.28,100.0
ITM10029,Pharma,284,23,5,4,21.45,2.46,0.47,L70,A,130,4.24,105.6,1.3,1,0.97,128,4.29,0.45,2024-04-14,76.89,0.591,70,29.0,18.0,2,1,25135.519999999997,1,211,Tier 4 (Low Priority),1.28,89.0
ITM10030,Groceries,309,87,8,5,15.58,5.33,0.72,L54,D,65,1.55,29.47,1.95,2,0.88,93,4.18,0.26,2024-07-22,155.0,0.449,54,87.0,16.0,3,1,20961.36,1,311,Tier 4 (Low Priority),1.28,85.0
ITM10031,Pharma,449,44,13,3,45.72,1.68,0.86,L29,C,96,0.8,57.37,0.54,6,0.92,794,14.54,0.36,2024-05-02,14.02,0.676,29,68.0,45.0,2,4,53460.78,2,242,Tier 3 (High Volume),1.65,140.0
ITM10032,Pharma,481,39,13,7,10.45,9.41,0.42,L58,D,85,2.21,75.58,1.61,1,0.81,52,10.01,0.33,2024-10-09,191.13,0.58,58,86.0,22.0,4,3,27277.380000000005,1,431,Tier 4 (Low Priority),1.28,85.0
ITM10033,Electronics,403,26,9,2,20.08,9.68,0.31,L76,D,94,4.35,130.87,1.12,4,0.85,492,3.34,0.71,2024-06-13,200.6,0.565,76,80.0,16.0,2,1,80069.04000000001,3,213,Tier 4 (Low Priority),1.28,53.0
ITM10034,Groceries,279,76,4,3,47.08,9.75,0.66,L36,B,94,0.85,56.86,0.52,8,0.92,128,7.83,0.25,2024-05-24,211.97,0.526,36,48.0,51.0,2,2,11739.28,1,221,Tier 4 (Low Priority),1.28,154.0
ITM10035,Automotive,433,89,5,4,21.93,0.87,0.93,L1,C,169,3.09,54.45,0.2,6,0.92,426,3.58,0.91,2024-07-13,171.16,0.674,1,66.0,46.0,3,1,27110.04,1,311,Tier 4 (Low Priority),1.28,89.0
ITM10036,Groceries,498,39,6,8,28.18,9.49,0.26,L98,D,90,3.65,64.38,1.54,2,0.83,742,9.48,0.27,2024-08-26,141.19,0.552,98,82.0,20.0,3,3,73485.86,3,333,Tier 1 (Critical),2.33,248.0
ITM10037,Automotive,377,54,12,5,4.94,9.98,0.82,L21,C,174,2.67,122.58,0.7,1,0.86,188,5.78,0.68,2024-09-30,258.11,0.695,21,65.0,50.0,3,2,31464.0,2,322,Tier 4 (Low Priority),1.28,37.0
ITM10038,Electronics,94,88,8,9,39.72,9.45,0.53,L90,A,17,1.65,103.6,0.81,9,0.98,951,3.74,0.94,2024-11-28,232.53,0.573,90,24.0,24.0,4,1,102376.94999999998,4,414,Tier 2 (High Value),1.96,376.0
ITM10039,Apparel,374,98,3,5,21.72,6.87,0.82,L55,C,20,1.97,169.91,1.02,8,0.89,864,4.4,0.25,2024-07-02,187.58,0.425,55,62.0,9.0,2,1,159948.71999999997,4,214,Tier 2 (High Value),1.96,122.0
ITM10040,Pharma,91,60,11,5,40.23,7.16,0.55,L44,A,147,0.82,142.61,1.06,8,0.89,56,10.45,0.51,2024-06-06,23.34,0.553,44,28.0,46.0,2,3,10925.880000000001,1,231,Tier 4 (Low Priority),1.28,210.0
ITM10041,Electronics,278,56,7,4,13.44,1.66,0.44,L36,C,124,1.82,136.7,0.49,8,0.94,932,6.71,0.46,2024-05-13,211.24,0.56,36,69.0,41.0,2,2,133187.24,4,224,Tier 2 (High Value),1.96,57.0
ITM10042,Pharma,417,62,14,2,21.7,8.81,0.73,L20,C,90,0.7,39.38,1.37,9,0.73,927,8.18,0.48,2024-07-03,171.87,0.434,20,69.0,42.0,2,3,54292.86,3,233,Tier 1 (Critical),2.33,64.0
ITM10043,Apparel,207,73,9,5,39.54,1.07,0.91,L28,D,96,3.77,20.49,1.42,2,0.86,885,12.5,0.68,2024-09-19,211.11,0.693,28,89.0,44.0,3,4,30288.3,2,342,Tier 3 (High Volume),1.65,199.0
ITM10044,Apparel,480,47,11,2,48.72,3.52,0.39,L98,D,51,4.54,106.9,0.37,0,0.99,774,10.18,0.41,2024-09-11,100.31,0.779,98,80.0,16.0,3,3,91582.56000000001,4,334,Tier 1 (Critical),2.33,106.0
ITM10045,Electronics,192,73,11,3,3.92,9.92,0.51,L44,A,46,3.35,23.61,1.11,8,0.81,562,7.47,0.22,2024-08-26,235.33,0.435,44,22.0,50.0,3,2,21545.120000000003,1,321,Tier 4 (Low Priority),1.28,24.0
ITM10046,Apparel,499,96,3,7,40.81,4.51,0.31,L14,A,101,3.46,79.16,1.26,6,0.79,745,14.36,0.97,2024-02-20,131.2,0.697,14,20.0,51.0,1,4,80414.09999999999,3,143,Tier 1 (Critical),2.33,296.0
ITM10047,Automotive,309,98,3,9,15.73,1.75,0.27,L12,B,94,2.62,14.96,0.45,1,0.88,812,4.0,0.8,2024-08-28,269.4,0.724,12,45.0,47.0,3,1,18446.46,1,311,Tier 4 (Low Priority),1.28,144.0
ITM10048,Apparel,64,16,5,7,27.99,9.71,0.8,L49,D,68,1.2,43.59,1.8,5,0.77,776,5.05,0.31,2024-06-12,40.16,0.403,49,81.0,46.0,2,2,38213.04,2,222,Tier 4 (Low Priority),1.28,208.0
ITM10049,Pharma,80,31,8,2,15.21,9.85,0.28,L13,A,161,0.53,30.97,1.02,8,0.87,126,13.76,0.56,2024-04-14,150.52,0.607,13,26.0,40.0,2,4,6417.0,1,241,Tier 3 (High Volume),1.65,47.0
ITM10050,Pharma,102,90,4,2,31.06,2.28,0.81,L46,D,165,2.05,162.19,0.32,7,0.75,92,12.95,0.25,2024-07-08,69.66,0.601,46,86.0,50.0,3,4,16089.28,1,341,Tier 3 (High Volume),1.65,66.0
ITM10051,Pharma,142,91,12,7,18.34,8.72,0.49,L45,C,46,3.88,75.76,0.74,5,0.87,973,2.82,0.22,2024-06-09,141.51,0.482,45,60.0,39.0,2,1,80642.12000000001,3,213,Tier 4 (Low Priority),1.28,140.0
ITM10052,Pharma,377,50,14,5,17.35,4.21,1.0,L78,B,30,4.82,24.98,1.01,5,0.88,206,14.02,0.24,2024-07-30,112.59,0.61,78,46.0,22.0,3,4,17561.899999999998,1,341,Tier 3 (High Volume),1.65,94.0
ITM10053,Automotive,35,83,13,6,2.86,4.12,0.28,L34,D,170,2.44,60.44,0.12,7,0.83,579,1.14,0.8,2024-01-24,243.0,0.589,34,82.0,44.0,1,1,36533.520000000004,2,112,Tier 4 (Low Priority),1.28,22.0
ITM10054,Groceries,85,19,3,6,8.2,3.0,0.18,L6,D,139,2.14,139.73,0.16,8,0.81,904,12.51,0.56,2024-10-15,58.48,0.665,6,80.0,36.0,4,4,128658.47999999998,4,444,Tier 1 (Critical),2.33,56.0
ITM10055,Electronics,443,66,3,4,45.94,0.92,0.17,L94,D,92,2.51,151.67,0.21,7,0.77,269,4.9,0.88,2024-04-23,183.63,0.634,94,85.0,13.0,2,2,44265.32,2,222,Tier 4 (Low Priority),1.28,185.0
ITM10056,Pharma,164,16,7,9,49.92,3.05,0.85,L59,D,165,2.42,32.77,1.12,0,0.8,634,3.64,0.44,2024-03-15,127.88,0.585,59,83.0,8.0,1,1,27820.86,1,111,Tier 4 (Low Priority),1.28,453.0
